aX,aY,aZ,gX,gY,gZ
0.147,0.172,-0.220,-12.756,42.236,-1.892
0.124,0.183,-0.224,-14.771,45.349,-20.508
0.102,0.174,-0.201,-17.517,46.082,-28.076
0.108,0.165,-0.174,-22.278,46.082,-34.790
0.117,0.160,-0.154,-34.363,43.701,-47.241
0.151,0.228,-0.147,-38.391,41.626,-53.589
0.197,0.306,-0.144,-36.255,35.889,-66.956
0.307,0.476,-0.138,-30.518,32.104,-73.792
0.346,0.539,-0.151,-16.602,22.644,-87.463
0.392,0.590,-0.189,-12.024,17.090,-94.421
0.400,0.650,-0.215,-10.010,10.681,-101.318
0.425,0.858,-0.248,-6.042,-3.296,-111.450
0.730,1.819,-0.387,2.014,-8.179,-109.436
1.023,2.358,-0.419,34.973,-9.583,-82.947
1.411,2.695,-0.562,54.504,-9.399,-62.927
1.444,2.550,-0.736,70.374,-9.277,-43.640
1.458,2.353,-0.808,78.857,-4.456,-11.047
1.388,1.732,-0.566,67.200,-1.465,3.418
1.194,1.358,-0.432,19.775,-1.160,23.560
0.656,0.783,-0.283,-4.211,-3.113,26.794
0.451,0.600,-0.200,-33.936,-9.705,21.790
0.246,0.393,-0.167,-41.443,-15.564,15.991
0.202,0.366,-0.217,-46.936,-22.522,10.010
0.159,0.324,-0.272,-54.077,-35.767,1.038
0.068,0.257,-0.262,-56.885,-40.466,-2.441
0.034,0.214,-0.236,-63.782,-46.509,-7.507
0.850,2.144,-1.399,-88.196,-57.556,1.770
1.289,2.656,-1.661,-81.177,-31.372,65.063
1.486,2.674,-1.745,-84.534,-15.320,101.990
1.276,2.316,-1.529,-80.261,5.676,153.442
0.886,1.691,-1.086,-62.805,6.470,162.292
0.791,1.378,-0.870,-35.339,1.465,161.194
0.716,1.124,-0.708,33.386,-21.118,131.775
0.487,0.910,-0.630,63.782,-32.410,109.558
0.371,0.765,-0.515,81.299,-46.875,71.472
0.251,0.542,-0.268,65.552,-52.917,56.580
0.230,0.469,-0.208,40.649,-58.777,43.762
0.226,0.378,-0.196,-15.137,-67.566,22.156
0.243,0.225,-0.236,-40.710,-70.068,12.268
0.245,0.199,-0.251,-77.454,-71.960,-6.042
0.221,0.187,-0.215,-85.815,-72.510,-14.343
0.203,0.169,-0.183,-87.097,-74.463,-29.297
0.177,0.091,-0.119,-85.144,-76.111,-36.072
0.161,0.065,-0.101,-84.351,-78.064,-42.297
0.141,0.051,-0.093,-87.646,-82.153,-52.612
0.102,0.041,-0.083,-90.393,-83.923,-56.763
0.114,0.063,-0.066,-93.933,-87.585,-64.209
0.182,0.124,-0.071,-92.834,-89.905,-67.749
0.208,0.148,-0.097,-80.688,-95.642,-76.538
0.221,0.277,-0.180,-69.275,-99.121,-82.031
0.227,0.401,-0.264,-55.054,-103.027,-87.524
0.314,0.604,-0.367,-23.315,-110.291,-93.933
1.018,1.367,-0.651,-8.362,-112.244,-91.919
1.606,1.790,-0.813,10.071,-108.276,-69.824
2.253,2.281,-1.096,11.841,-100.586,-51.086
2.237,2.126,-1.010,7.324,-77.454,-9.827
1.951,1.348,-0.600,5.127,-69.031,4.028
1.674,1.168,-0.435,3.113,-64.697,11.353
1.359,1.033,-0.304,-5.310,-64.819,19.409
0.941,0.719,-0.177,-15.381,-68.359,23.010
0.858,0.606,-0.195,-47.791,-76.660,28.809
0.773,0.434,-0.149,-66.284,-79.712,30.701
0.737,0.354,-0.103,-83.984,-82.397,31.860
0.701,0.265,-0.065,-114.746,-87.280,31.921
0.535,0.120,-0.052,-127.136,-88.867,31.006
0.403,0.093,-0.068,-141.724,-89.233,28.564
0.204,0.061,-0.105,-142.822,-87.830,27.344
0.156,0.052,-0.076,-133.728,-83.984,24.536
0.146,0.027,0.019,-125.488,-82.825,22.827
0.151,0.002,0.043,-116.516,-82.642,20.813
0.148,-0.019,0.041,-100.098,-84.351,15.625
0.112,-0.033,0.007,-93.384,-85.327,12.695
0.075,-0.027,-0.000,-83.923,-86.731,7.324
0.031,-0.026,-0.026,-81.482,-87.158,4.883
0.046,-0.018,-0.061,-81.726,-86.304,0.488
0.113,0.028,-0.209,-84.656,-84.534,-0.854
0.158,0.071,-0.331,-89.661,-81.787,-1.282
0.248,0.175,-0.494,-106.995,-72.876,2.502
0.762,0.612,-0.967,-120.544,-65.613,9.521
1.328,0.928,-1.252,-162.781,-41.748,40.710
2.638,1.730,-1.578,-191.223,-26.001,64.392
2.853,2.017,-1.490,-220.459,-11.169,90.576
2.258,2.051,-1.194,-260.071,3.052,135.681
1.853,1.759,-1.120,-254.944,1.709,146.790
1.528,1.374,-1.067,-180.237,-9.033,134.277
0.993,0.910,-0.854,-121.155,-16.663,114.380
0.756,0.786,-0.753,4.456,-33.508,70.496
0.398,0.526,-0.505,52.124,-40.894,52.002
0.320,0.428,-0.370,79.895,-47.424,36.926
0.297,0.348,-0.276,78.186,-59.082,16.235
0.305,0.240,-0.193,57.495,-63.782,9.644
0.282,0.178,-0.174,-2.441,-70.740,0.610
0.226,0.120,-0.135,-33.936,-73.364,-3.052
0.211,0.105,-0.109,-61.951,-75.623,-6.287
0.198,0.090,-0.087,-100.037,-79.590,-12.085
0.154,0.061,-0.066,-110.291,-81.055,-14.771
0.117,0.045,-0.066,-120.300,-83.008,-18.616
0.065,-0.000,-0.048,-122.375,-83.374,-19.653
0.060,-0.016,-0.045,-121.338,-83.435,-20.630
0.058,-0.024,-0.064,-118.225,-82.947,-20.325
