aX,aY,aZ,gX,gY,gZ
0.927,0.312,-0.132,-48.950,-15.076,-18.616
0.917,0.304,-0.125,-52.063,-13.062,-20.691
0.938,0.314,-0.122,-60.303,-8.118,-21.545
0.965,0.308,-0.087,-64.453,-5.737,-20.569
0.947,0.294,-0.075,-70.740,-2.625,-18.677
0.931,0.273,-0.067,-72.449,-1.465,-17.944
0.937,0.269,-0.051,-73.242,0.427,-16.296
0.956,0.299,-0.058,-71.960,0.916,-14.832
0.954,0.307,-0.079,-69.214,1.282,-12.878
0.943,0.299,-0.088,-61.035,2.502,-9.583
0.912,0.256,-0.080,-57.861,2.808,-8.911
0.920,0.245,-0.079,-55.969,2.380,-8.545
0.965,0.262,-0.073,-56.396,1.770,-7.812
0.974,0.277,-0.085,-52.734,-0.305,-4.822
0.952,0.276,-0.119,-47.058,-1.343,-3.479
0.942,0.268,-0.126,-40.222,-2.197,-2.686
0.934,0.253,-0.125,-29.785,-3.601,-2.075
0.909,0.215,-0.113,-27.344,-4.333,-2.136
0.908,0.212,-0.111,-24.231,-6.042,-2.258
0.937,0.236,-0.146,-21.362,-6.653,-1.648
0.936,0.233,-0.156,-12.329,-6.958,0.610
0.918,0.214,-0.147,-8.850,-7.263,1.465
0.917,0.202,-0.142,-7.385,-7.812,1.953
0.913,0.191,-0.134,-8.728,-8.972,2.563
0.925,0.216,-0.143,-8.911,-9.399,3.052
0.950,0.237,-0.163,-3.906,-8.789,5.493
0.941,0.216,-0.169,-0.244,-7.812,6.775
0.934,0.211,-0.164,2.502,-5.920,8.057
0.932,0.206,-0.158,1.038,-5.066,8.423
0.919,0.202,-0.157,-1.160,-4.150,8.667
0.913,0.204,-0.156,-3.845,-2.014,8.667
0.924,0.215,-0.159,-3.601,-0.793,8.789
0.929,0.222,-0.166,-1.526,1.953,9.583
-0.282,1.471,1.020,-106.201,-139.038,469.360
-0.477,1.578,1.024,-123.718,-132.141,497.314
-0.872,1.934,1.035,-129.883,-122.437,512.085
-1.102,2.152,1.027,-127.930,-110.291,527.222
-1.833,2.386,1.022,-97.717,-84.534,548.645
