aX,aY,aZ,gX,gY,gZ
0.171,0.924,-0.227,3.052,83.008,-17.761
0.184,0.923,-0.252,3.052,79.468,-17.273
0.180,0.929,-0.276,2.258,76.050,-16.296
0.181,0.932,-0.292,-3.113,70.557,-12.878
0.180,0.942,-0.292,-7.324,68.115,-10.803
0.176,0.948,-0.287,-16.174,62.744,-6.897
0.167,0.939,-0.290,-19.714,59.509,-5.371
0.159,0.928,-0.298,-22.339,56.152,-4.517
0.157,0.914,-0.303,-25.208,49.194,-5.127
0.151,0.899,-0.293,-26.428,45.349,-6.470
0.146,0.903,-0.284,-29.297,36.194,-9.399
0.148,0.923,-0.281,-29.419,31.067,-10.498
0.153,0.939,-0.290,-22.949,21.240,-11.658
0.177,0.955,-0.303,-17.029,17.151,-11.475
0.184,0.958,-0.299,-10.864,13.428,-10.681
0.191,0.958,-0.290,-0.671,6.287,-8.057
0.212,0.959,-0.265,2.991,2.563,-6.348
0.215,0.963,-0.255,7.263,-5.249,-2.319
0.220,0.953,-0.251,8.179,-8.850,-0.244
0.221,0.939,-0.250,8.789,-14.404,2.686
0.208,0.912,-0.243,8.789,-16.541,3.235
0.203,0.910,-0.238,8.728,-18.494,3.418
0.195,0.918,-0.238,8.362,-21.790,3.845
0.191,0.936,-0.249,8.911,-22.766,4.395
0.203,0.934,-0.247,12.024,-22.705,5.310
0.210,0.926,-0.219,13.184,-22.339,5.371
0.205,0.924,-0.204,13.367,-22.278,5.188
0.207,0.922,-0.196,10.925,-22.949,4.089
-1.142,1.291,0.330,-92.407,-360.840,162.170
-1.227,1.398,0.353,-167.297,-435.486,189.148
-1.284,1.499,0.412,-194.824,-474.243,205.933
-1.284,1.485,0.466,-232.849,-554.565,240.967
-1.347,1.469,0.509,-246.460,-596.436,257.935
-1.346,1.424,0.478,-251.892,-638.672,273.437
-1.298,1.368,0.455,-224.915,-722.046,291.870
-1.244,1.391,0.397,-197.632,-764.404,293.823
-1.394,1.464,0.257,-122.864,-847.534,287.231
-2.135,1.700,-0.096,-72.876,-885.010,278.320
-2.616,1.827,-0.391,-17.029,-918.701,266.541
