aX,aY,aZ,gX,gY,gZ
0.187,1.049,-0.173,59.998,-37.231,14.099
0.163,1.003,-0.158,53.589,-34.424,13.123
0.159,0.979,-0.154,36.926,-28.076,11.047
0.146,0.940,-0.160,27.466,-24.475,9.888
0.132,0.928,-0.164,18.066,-20.752,8.606
0.122,0.924,-0.166,1.953,-13.916,5.920
0.110,0.935,-0.155,-3.601,-11.169,4.700
0.097,0.938,-0.152,-8.179,-7.996,2.197
0.086,0.962,-0.150,-7.935,-7.263,1.282
0.088,0.975,-0.151,-5.371,-6.592,1.526
0.089,0.988,-0.159,-3.357,-6.470,2.502
0.087,0.999,-0.166,-1.099,-6.531,3.723
0.082,1.005,-0.175,3.540,-7.507,6.409
0.071,0.999,-0.204,5.798,-8.118,7.507
0.070,0.986,-0.223,10.498,-7.996,7.996
0.088,0.958,-0.242,13.306,-6.897,7.202
0.095,0.956,-0.232,15.930,-5.127,6.042
0.091,0.953,-0.214,17.639,-2.686,4.028
0.088,0.941,-0.182,16.907,-2.869,3.174
0.084,0.939,-0.175,13.733,-4.761,1.953
0.078,0.945,-0.181,11.230,-5.737,1.892
0.079,0.949,-0.186,8.179,-6.226,2.197
0.077,0.954,-0.188,2.380,-6.104,3.052
0.080,0.975,-0.186,0.793,-5.920,3.357
0.078,0.987,-0.182,1.465,-6.409,3.906
0.064,1.000,-0.186,3.052,-7.141,4.211
0.058,1.000,-0.189,7.080,-7.996,5.066
0.062,0.991,-0.186,9.094,-7.751,5.615
0.063,0.987,-0.181,10.681,-7.141,6.287
0.059,0.984,-0.176,12.329,-5.615,7.690
0.041,0.971,-0.165,12.939,-5.310,8.118
0.043,0.964,-0.163,14.954,-6.226,7.812
0.047,0.959,-0.167,15.625,-6.836,7.324
0.243,1.571,-0.794,-8.240,-19.226,-119.690
0.277,1.570,-0.819,-76.843,-31.860,-153.198
0.381,1.585,-0.926,-110.901,-41.443,-168.274
0.444,1.573,-1.001,-165.161,-61.279,-192.871
0.548,1.529,-1.098,-183.960,-70.068,-202.637
0.582,1.527,-1.090,-197.815,-78.796,-210.571
0.607,1.517,-1.053,-216.003,-100.464,-220.032
0.656,1.417,-0.966,-222.961,-113.708,-221.924
0.675,1.348,-0.938,-238.953,-139.893,-221.863
0.694,1.212,-0.878,-249.084,-151.245,-220.337
0.710,1.150,-0.844,-270.508,-170.288,-214.661
0.685,1.112,-0.769,-281.128,-178.772,-209.961
0.647,1.097,-0.724,-291.687,-187.317,-203.918
0.624,1.074,-0.659,-307.007,-205.749,-190.369
0.571,1.043,-0.519,-310.303,-216.309,-183.716
0.540,1.016,-0.454,-308.289,-239.929,-170.715
0.498,0.963,-0.387,-302.368,-252.441,-164.551
0.486,0.965,-0.391,-283.325,-274.902,-149.841
0.496,0.939,-0.376,-273.132,-283.203,-140.930
0.500,0.883,-0.327,-263.123,-289.001,-132.080
0.485,0.815,-0.260,-245.422,-294.800,-118.103
0.445,0.680,-0.189,-239.258,-296.021,-112.427
0.425,0.609,-0.135,-236.328,-299.133,-99.976
0.320,0.505,0.027,-237.366,-304.199,-92.407
0.288,0.467,0.075,-228.577,-320.190,-76.294
0.213,0.402,0.156,-215.210,-327.942,-68.970
0.172,0.403,0.205,-197.876,-334.167,-62.134
0.131,0.414,0.260,-163.513,-342.163,-45.898
0.084,0.311,0.348,-149.841,-344.055,-36.377
0.009,0.260,0.392,-131.165,-346.802,-19.409
-0.141,0.197,0.456,-125.366,-348.206,-11.597
-0.219,0.203,0.477,-121.643,-346.985,5.920
-0.344,0.237,0.549,-124.329,-343.445,16.602
-0.390,0.273,0.617,-127.930,-337.891,28.259
-0.446,0.332,0.696,-125.610,-320.801,53.223
-0.625,0.411,0.835,-115.601,-308.716,65.857
-0.720,0.459,0.929,-86.853,-277.466,89.172
-0.893,0.613,1.107,-73.608,-258.545,100.891
-0.981,0.668,1.185,-60.120,-236.938,112.793
-1.079,0.699,1.269,-27.893,-185.974,134.338
-1.298,0.723,1.435,-11.414,-157.593,143.188
-1.414,0.729,1.502,12.756,-94.543,158.020
-1.675,0.826,1.608,19.714,-58.594,164.246
-1.797,0.932,1.611,30.701,24.536,177.917
-2.057,1.113,1.558,39.307,71.899,185.974
-2.234,1.160,1.490,50.720,121.826,194.214
-2.424,1.178,1.401,76.721,227.417,207.764
-2.671,1.207,1.183,89.478,283.325,212.036
-2.691,1.211,1.000,118.713,405.823,214.355
-2.637,1.187,0.448,135.742,473.877,212.341
-2.589,1.126,0.076,151.550,545.898,208.862
-2.511,1.066,-0.383,169.617,701.355,198.486
